symbol,price,open,high,low,timestamp
CAT,857.96,866.845,873.77,853.37,2026-06-01T15:04:29.163925
PG,139.63,142.60500000000002,142.60500000000002,138.86,2026-06-01T15:04:29.826978
UNH,380.16,376.76750000000004,383.345,375.92,2026-06-01T15:29:03.983631
TSLA,422.14,429.33500000000004,429.6,418.65,2026-06-01T15:29:08.905365
BRK.B,470.29,473.05,473.39,467.96,2026-06-02T05:57:42.775543
XOM,149.38,147.02,149.65,147.0,2026-06-02T05:57:43.301909
SPY,758.54,755.36,760.28,754.69,2026-06-02T09:55:08.196661
QQQ,742.74,737.04,745.65,735.99,2026-06-02T09:55:08.822856
